"OS10_1" "OS10_0" "se10_1" "se10_0" "PlugIn1" "PlugIn0" "DeBias1" "DeBias0"
0.311695922999687 0.197292397944444 0.0373524104481156 0.0168506308229343 0.338868571512752 0.190569879289593 -0.027172648513065 0.00672251865485074
0.389689242955579 0.196393151511618 0.0187936847872204 0.0145508265539207 0.414883253073708 0.192955728256716 -0.0251940101181289 0.00343742325490183
0.319624011066096 0.226207660621439 0.0352873932932754 0.0173783177364384 0.354863330289076 0.214610766053443 -0.0352393192229794 0.0115968945679955
0.322767781336382 0.16853164710036 0.0306090330166477 0.0153999846215884 0.336864527511744 0.174172021037319 -0.0140967461753613 -0.00564037393695897
0.316285453289521 0.197320327761439 0.0336212729949162 0.0161822868536263 0.35087346982822 0.168497002761643 -0.0345880165386988 0.0288233249997961
0.349236435197669 0.184321488602857 0.0236778095598483 0.0169074550805969 0.356601916989868 0.178838852226545 -0.00736548179219929 0.00548263637631154
0.328337863343387 0.178789736096652 0.0421352214354061 0.0155016044849956 0.349352288202374 0.171259560022263 -0.0210144248589867 0.00753017607438854
0.323887944224453 0.199980263339757 0.0206486265983664 0.0150900922157872 0.339370351317815 0.194868386051567 -0.0154824070933625 0.00511187728818988
0.306473907194504 0.201132589922275 0.0290605410107608 0.0174760070261601 0.316639030141653 0.196378822897614 -0.010165122947149 0.00475376702466117
0.361982622495574 0.242961470140728 0.0216341264865254 0.0249601889459084 0.351393800877709 0.220099207256696 0.0105888216178651 0.0228622628840322
