"OS10_1" "OS10_0" "se10_1" "se10_0" "PlugIn1" "PlugIn0" "DeBias1" "DeBias0"
0.33593586898199 0.190280569027289 0.0190423889692155 0.0149135233584237 0.339184875253925 0.186963688658927 -0.00324900627193446 0.00331688036836185
0.358171483245946 0.188797020322042 0.0186476929401103 0.013436712923726 0.397451676375562 0.186240478667425 -0.0392801931296154 0.00255654165461695
0.340407103167201 0.227178643974261 0.0197840158808434 0.0148286189757572 0.366824575504747 0.210312355809558 -0.026417472337546 0.0168662881647033
0.335802767780643 0.175063513428461 0.0183916301878399 0.0140824831749151 0.329766860141075 0.171868543606932 0.00603590763956791 0.00319496982152985
0.345640486969811 0.175350887655124 0.0172699624662121 0.0136097542937409 0.351574807475819 0.167977020517159 -0.00593432050600817 0.00737386713796518
0.315164079511944 0.185794088263184 0.0217944223501664 0.014895540167646 0.343224325603454 0.177810638324643 -0.0280602460915107 0.00798344993854138
0.342341737057187 0.191912094279778 0.0208581274174756 0.0141001642134757 0.359725058320657 0.178432075857614 -0.0173833212634699 0.0134800184221641
0.315983657148399 0.194641494887515 0.0178881917960232 0.0140570276352112 0.325361911883747 0.184094639175488 -0.00937825473534785 0.0105468557120277
0.335715331521603 0.211659924078038 0.0192915029835712 0.0153069020546397 0.327013111211533 0.197848600030857 0.00870222031006934 0.0138113240471812
0.347800411312721 0.215175428175635 0.0168891412345263 0.015452169425793 0.343928148963789 0.205032393763312 0.00387226234893203 0.0101430344123222
